Column1,,Column2,,Column3,Column4,Column5
상품명,재질,색상,카테고리,품목코드,제품명,단가
1구,듀로플라스틱,화이트,,LS981WW,프레임 1구,5530
2구,듀로플라스틱,화이트,,LS982WW,프레임 2구,9750
3구,듀로플라스틱,화이트,,LS983WW,프레임 3구,14550
4구,듀로플라스틱,화이트,,LS984WW,프레임 4구,26190
5구,듀로플라스틱,화이트,,LS985WW,프레임 5구,37670
1회로(3로겸용),듀로플라스틱,화이트,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),듀로플라스틱,화이트,스위치류,LS990WW,커버 1회로 스위치,6690
1회로(일괄소등),듀로플라스틱,화이트,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),듀로플라스틱,화이트,스위치류,LS990WW,커버 1회로 스위치,6690
2회로(단로전용),듀로플라스틱,화이트,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),듀로플라스틱,화이트,스위치류,LS995WW,커버 2회로 스위치,10040
2회로(3로겸용),듀로플라스틱,화이트,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),듀로플라스틱,화이트,스위치류,LS995WW,커버 2회로 스위치,10040
3회로(3로겸용),듀로플라스틱,화이트,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,화이트,스위치류,LS993BFWW,커버 3회로 스위치,20520
로터리디밍,듀로플라스틱,화이트,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
로터리디밍,듀로플라스틱,화이트,스위치류,LS1740WW,커버 로터리디밍,13960
콘센트,듀로플라스틱,화이트,콘센트류,LS1520KIWW,콘센트220V (인서트+커버),16150
방우콘센트,듀로플라스틱,화이트,콘센트류,LS1520KIKLWW,콘센트220V 방우형 (인서트+커버),26770
콘센트(USB-A),듀로플라스틱,화이트,콘센트류,LS1520-18AWW,콘센트220V USB-A (인서트+커버),133990
콘센트(USB-C),듀로플라스틱,화이트,콘센트류,LS1520-18CWW,콘센트220V USB-C (인서트+커버),133990
콘센트(USB-C/A),듀로플라스틱,화이트,콘센트류,LS1520-15CAWW,콘센트220V USB-C/A (인서트+커버),133990
1회로(TEL/LAN),듀로플라스틱,화이트,기타류,UAE8UPOK6,인서트 1P TEL/LAN,36370
1회로(TEL/LAN),듀로플라스틱,화이트,기타류,LS969-1UAWW,커버 1P TEL/LAN,8000
2회로(TEL/LAN),듀로플라스틱,화이트,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,48590
2회로(TEL/LAN),듀로플라스틱,화이트,기타류,LS969-2UAWW,커버 2P TEL/LAN,8810
1구,듀로플라스틱,아이보리,,LS981W,프레임 1구,5670
2구,듀로플라스틱,아이보리,,LS982W,프레임 2구,10910
3구,듀로플라스틱,아이보리,,LS983W,프레임 3구,16150
4구,듀로플라스틱,아이보리,,LS984W,프레임 4구,28810
5구,듀로플라스틱,아이보리,,LS985W,프레임 5구,40730
1회로(3로겸용),듀로플라스틱,아이보리,스위치류,506U,인서트 1회로 (단로/3로),11790
1회로(3로겸용),듀로플라스틱,아이보리,스위치류,LS990,커버 1회로 스위치,6690
1회로(일괄소등),듀로플라스틱,아이보리,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),26190
1회로(일괄소등),듀로플라스틱,아이보리,스위치류,LS990,커버 1회로 스위치,6690
2회로(단로전용),듀로플라스틱,아이보리,스위치류,505U,인서트 2회로 (단로전용),18480
2회로(단로전용),듀로플라스틱,아이보리,스위치류,LS995,커버 2회로 스위치,10330
2회로(3로겸용),듀로플라스틱,아이보리,스위치류,509U,인서트 2회로 (단로/3로),32880
2회로(3로겸용),듀로플라스틱,아이보리,스위치류,LS995,커버 2회로 스위치,10330
3회로(3로겸용),듀로플라스틱,아이보리,스위치류,5306EU,인서트 단로 3회로 (3로겸용),42480
3회로(3로겸용),듀로플라스틱,아이보리,스위치류,LS993BF,커버 3회로 스위치,20520
로터리디밍,듀로플라스틱,아이보리,스위치류,1731DD,인서트 로터리디밍 (LED100W),193490
