상품명,색상,단가
1구프레임,화이트,5500
2구프레임,화이트,9800
3구프레임,화이트,14500
4구프레임,화이트,26200
5구프레임,화이트,37700
1회로(3로겸용),화이트,18500
1회로(일괄소등),화이트,32900
2회로(단로전용),화이트,28500
2회로(3로겸용),화이트,42900
3회로(3로겸용),화이트,63000
로터리디밍,화이트,207400
콘센트,화이트,16100
방우콘센트,화이트,26800
1회로(TV/LAN),화이트,44400
2회로(TV/LAN),화이트,57400
1구프레임,아이보리,"5,700"
2구프레임,아이보리,"10,900"
3구프레임,아이보리,"16,100"
4구프레임,아이보리,"28,800"
5구프레임,아이보리,"40,700"
1회로(3로겸용),아이보리,18500
1회로(일괄소등),아이보리,32900
2회로(단로전용),아이보리,28800
2회로(3로겸용),아이보리,43200
3회로(3로겸용),아이보리,63000
로터리디밍,아이보리,207400
콘센트,아이보리,16100
방우콘센트,아이보리,26800
1회로(TV/LAN),아이보리,44400
2회로(TV/LAN),아이보리,57400
1구프레임,블랙,"9,200"
2구프레임,블랙,"15,000"
3구프레임,블랙,"23,600"
4구프레임,블랙,"35,100"
5구프레임,블랙,"49,000"
1회로(3로겸용),블랙,23700
1회로(일괄소등),블랙,38100
2회로(단로전용),블랙,34500
2회로(3로겸용),블랙,48900
3회로(3로겸용),블랙,68700
로터리디밍,블랙,215000
콘센트,블랙,21000
방우콘센트,블랙,29700
1회로(TV/LAN),블랙,50000
2회로(TV/LAN),블랙,63600
1구프레임,라이트그레이,"9,200"
2구프레임,라이트그레이,"15,000"
3구프레임,라이트그레이,"23,600"
4구프레임,라이트그레이,"35,100"
5구프레임,라이트그레이,"49,000"
1회로(3로겸용),라이트그레이,"23,700"
1회로(일괄소등),라이트그레이,"38,100"
2회로(단로전용),라이트그레이,34500
2회로(3로겸용),라이트그레이,48900
3회로(3로겸용),라이트그레이,68700
로터리디밍,라이트그레이,215000
콘센트,라이트그레이,21000
방우콘센트,라이트그레이,29700
1회로(TV/LAN),라이트그레이,50000
